climate,obstacle,orientation,heat_SP,cool_SP,load,cv,qcd
0,1,45,21,24,heat_load [kWh/m2],0,0
0,1,45,21,24,cool_load [kWh/m2],0.0660492,0.059921
0,1,45,21,24,light_load [kWh/m2],0.0234426,0.00672453
0,1,45,21,24,primary [kWh/m2],0.0529529,0.0487082
0,1,45,21,26,heat_load [kWh/m2],0,0
0,1,45,21,26,cool_load [kWh/m2],0.0769293,0.0696335
0,1,45,21,26,light_load [kWh/m2],0.0234426,0.00672453
0,1,45,21,26,primary [kWh/m2],0.0599619,0.055004
0,2,-45,19,24,heat_load [kWh/m2],0,0
0,2,-45,19,24,cool_load [kWh/m2],0.0613532,0.0547225
0,2,-45,19,24,light_load [kWh/m2],0.0236079,0.00819875
0,2,-45,19,24,primary [kWh/m2],0.0492393,0.0448742
0,2,-45,19,26,heat_load [kWh/m2],0,0
0,2,-45,19,26,cool_load [kWh/m2],0.0713396,0.0635894
0,2,-45,19,26,light_load [kWh/m2],0.0236079,0.00819875
0,2,-45,19,26,primary [kWh/m2],0.0558889,0.0509012
0,2,-45,21,24,heat_load [kWh/m2],0,0
0,2,-45,21,24,cool_load [kWh/m2],0.0613532,0.0547225
0,2,-45,21,24,light_load [kWh/m2],0.0236079,0.00819875
0,2,-45,21,24,primary [kWh/m2],0.0492393,0.0448742
0,2,-45,21,26,heat_load [kWh/m2],0,0
0,2,-45,21,26,cool_load [kWh/m2],0.0713396,0.0635894
0,2,-45,21,26,light_load [kWh/m2],0.0236079,0.00819875
0,2,-45,21,26,primary [kWh/m2],0.0558889,0.0509012
0,2,0,19,24,heat_load [kWh/m2],0,0
0,2,0,19,24,cool_load [kWh/m2],0.0601148,0.054237
0,2,0,19,24,light_load [kWh/m2],0.0544953,0.0198279
0,2,0,19,24,primary [kWh/m2],0.0423667,0.0376909
0,2,0,19,26,heat_load [kWh/m2],0,0
0,2,0,19,26,cool_load [kWh/m2],0.0707599,0.063908
0,2,0,19,26,light_load [kWh/m2],0.0544953,0.0198279
0,2,0,19,26,primary [kWh/m2],0.0482265,0.0428762
0,2,0,21,24,heat_load [kWh/m2],0,0
0,2,0,21,24,cool_load [kWh/m2],0.0601148,0.054237
0,2,0,21,24,light_load [kWh/m2],0.0544953,0.0198279
0,2,0,21,24,primary [kWh/m2],0.0423667,0.0376909
0,2,0,21,26,heat_load [kWh/m2],0,0
0,2,0,21,26,cool_load [kWh/m2],0.0707599,0.063908
0,2,0,21,26,light_load [kWh/m2],0.0544953,0.0198279
0,2,0,21,26,primary [kWh/m2],0.0482265,0.0428762
0,2,45,19,24,heat_load [kWh/m2],0,0
0,2,45,19,24,cool_load [kWh/m2],0.0538823,0.0483223
0,2,45,19,24,light_load [kWh/m2],0.0346296,0.013644
0,2,45,19,24,primary [kWh/m2],0.0402638,0.0363603
0,2,45,19,26,heat_load [kWh/m2],0,0
0,2,45,19,26,cool_load [kWh/m2],0.063184,0.05666
0,2,45,19,26,light_load [kWh/m2],0.0346296,0.013644
0,2,45,19,26,primary [kWh/m2],0.0457885,0.0413474
0,2,45,21,24,heat_load [kWh/m2],0,0
0,2,45,21,24,cool_load [kWh/m2],0.0538823,0.0483223
0,2,45,21,24,light_load [kWh/m2],0.0346296,0.013644
0,2,45,21,24,primary [kWh/m2],0.0402638,0.0363603
0,2,45,21,26,heat_load [kWh/m2],0,0
0,2,45,21,26,cool_load [kWh/m2],0.063184,0.05666
0,2,45,21,26,light_load [kWh/m2],0.0346296,0.013644
0,2,45,21,26,primary [kWh/m2],0.0457885,0.0413474
0,3,-45,19,24,heat_load [kWh/m2],0,0
0,3,-45,19,24,cool_load [kWh/m2],0.0676729,0.0607715
0,3,-45,19,24,light_load [kWh/m2],0.0196955,0.0066473
0,3,-45,19,24,primary [kWh/m2],0.0555519,0.0507038
0,3,-45,19,26,heat_load [kWh/m2],0,0
0,3,-45,19,26,cool_load [kWh/m2],0.0783754,0.0703183
0,3,-45,19,26,light_load [kWh/m2],0.0196955,0.0066473
0,3,-45,19,26,primary [kWh/m2],0.0628907,0.0573209
0,3,-45,21,24,heat_load [kWh/m2],0,0
0,3,-45,21,24,cool_load [kWh/m2],0.0676729,0.0607715
0,3,-45,21,24,light_load [kWh/m2],0.0196955,0.0066473
0,3,-45,21,24,primary [kWh/m2],0.0555519,0.0507038
0,3,-45,21,26,heat_load [kWh/m2],0,0
0,3,-45,21,26,cool_load [kWh/m2],0.0783754,0.0703183
0,3,-45,21,26,light_load [kWh/m2],0.0196955,0.0066473
0,3,-45,21,26,primary [kWh/m2],0.0628907,0.0573209
0,3,0,19,24,heat_load [kWh/m2],0,0
0,3,0,19,24,cool_load [kWh/m2],0.0727679,0.0658579
0,3,0,19,24,light_load [kWh/m2],0.0225366,0.00603435
0,3,0,19,24,primary [kWh/m2],0.0589919,0.0540223
0,3,0,19,26,heat_load [kWh/m2],0,0
0,3,0,19,26,cool_load [kWh/m2],0.0853044,0.0773524
0,3,0,19,26,light_load [kWh/m2],0.0225366,0.00603435
0,3,0,19,26,primary [kWh/m2],0.067287,0.0617527
0,3,0,21,24,heat_load [kWh/m2],0,0
0,3,0,21,24,cool_load [kWh/m2],0.0727679,0.0658579
0,3,0,21,24,light_load [kWh/m2],0.0225366,0.00603435
0,3,0,21,24,primary [kWh/m2],0.0589919,0.0540223
0,3,0,21,26,heat_load [kWh/m2],0,0
0,3,0,21,26,cool_load [kWh/m2],0.0853044,0.0773524
0,3,0,21,26,light_load [kWh/m2],0.0225366,0.00603435
0,3,0,21,26,primary [kWh/m2],0.067287,0.0617527
0,3,45,19,24,heat_load [kWh/m2],0,0
0,3,45,19,24,cool_load [kWh/m2],0.0656716,0.0596175
0,3,45,19,24,light_load [kWh/m2],0.0225055,0.00632543
0,3,45,19,24,primary [kWh/m2],0.0529415,0.0486237
0,3,45,19,26,heat_load [kWh/m2],0,0
0,3,45,19,26,cool_load [kWh/m2],0.0763977,0.0691435
0,3,45,19,26,light_load [kWh/m2],0.0225055,0.00632543
0,3,45,19,26,primary [kWh/m2],0.0599254,0.054946
0,3,45,21,24,heat_load [kWh/m2],0,0
0,3,45,21,24,cool_load [kWh/m2],0.0656716,0.0596175
0,3,45,21,24,light_load [kWh/m2],0.0225055,0.00632543
0,3,45,21,24,primary [kWh/m2],0.0529415,0.0486237
0,3,45,21,26,heat_load [kWh/m2],0,0
0,3,45,21,26,cool_load [kWh/m2],0.0763977,0.0691435
0,3,45,21,26,light_load [kWh/m2],0.0225055,0.00632543
0,3,45,21,26,primary [kWh/m2],0.0599254,0.054946
0,4,-45,19,24,heat_load [kWh/m2],0,0
0,4,-45,19,24,cool_load [kWh/m2],0.0679724,0.0610608
0,4,-45,19,24,light_load [kWh/m2],0.0206481,0.00706221
0,4,-45,19,24,primary [kWh/m2],0.0555887,0.0508216
0,4,-45,19,26,heat_load [kWh/m2],0,0
0,4,-45,19,26,cool_load [kWh/m2],0.0787681,0.0706169
0,4,-45,19,26,light_load [kWh/m2],0.0206481,0.00706221
0,4,-45,19,26,primary [kWh/m2],0.0629437,0.0574537
0,4,-45,21,24,heat_load [kWh/m2],0,0
0,4,-45,21,24,cool_load [kWh/m2],0.0679724,0.0610608
0,4,-45,21,24,light_load [kWh/m2],0.0206481,0.00706221
0,4,-45,21,24,primary [kWh/m2],0.0555887,0.0508216
0,4,-45,21,26,heat_load [kWh/m2],0,0
0,4,-45,21,26,cool_load [kWh/m2],0.0787681,0.0706169
0,4,-45,21,26,light_load [kWh/m2],0.0206481,0.00706221
0,4,-45,21,26,primary [kWh/m2],0.0629437,0.0574537
0,4,0,19,24,heat_load [kWh/m2],0,0
0,4,0,19,24,cool_load [kWh/m2],0.0731261,0.0662304
0,4,0,19,24,light_load [kWh/m2],0.0230302,0.0062426
0,4,0,19,24,primary [kWh/m2],0.0591172,0.0541994
0,4,0,19,26,heat_load [kWh/m2],0,0
0,4,0,19,26,cool_load [kWh/m2],0.0858238,0.0778378
0,4,0,19,26,light_load [kWh/m2],0.0230302,0.0062426
0,4,0,19,26,primary [kWh/m2],0.0674731,0.0619861
0,4,0,21,24,heat_load [kWh/m2],0,0
0,4,0,21,24,cool_load [kWh/m2],0.0731261,0.0662304
0,4,0,21,24,light_load [kWh/m2],0.0230302,0.0062426
0,4,0,21,24,primary [kWh/m2],0.0591172,0.0541994
0,4,0,21,26,heat_load [kWh/m2],0,0
0,4,0,21,26,cool_load [kWh/m2],0.0858238,0.0778378
0,4,0,21,26,light_load [kWh/m2],0.0230302,0.0062426
0,4,0,21,26,primary [kWh/m2],0.0674731,0.0619861
0,4,45,19,24,heat_load [kWh/m2],0,0
0,4,45,19,24,cool_load [kWh/m2],0.065753,0.0597162
0,4,45,19,24,light_load [kWh/m2],0.0225281,0.00632977
0,4,45,19,24,primary [kWh/m2],0.0529847,0.0486947
0,4,45,19,26,heat_load [kWh/m2],0,0
0,4,45,19,26,cool_load [kWh/m2],0.0765,0.0692723
0,4,45,19,26,light_load [kWh/m2],0.0225281,0.00632977
0,4,45,19,26,primary [kWh/m2],0.0599735,0.0550198
0,4,45,21,24,heat_load [kWh/m2],0,0
0,4,45,21,24,cool_load [kWh/m2],0.065753,0.0597162
0,4,45,21,24,light_load [kWh/m2],0.0225281,0.00632977
0,4,45,21,24,primary [kWh/m2],0.0529847,0.0486947
0,4,45,21,26,heat_load [kWh/m2],0,0
0,4,45,21,26,cool_load [kWh/m2],0.0765,0.0692723
0,4,45,21,26,light_load [kWh/m2],0.0225281,0.00632977
0,4,45,21,26,primary [kWh/m2],0.0599735,0.0550198
