climate,obstacle,orientation,heat_SP,cool_SP,load,cvrmse,model
0,1,-45,19,24,primary [kWh/m2],0.0150861,xgb12
0,1,-45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,-45,19,26,cool_load [kWh/m2],0.021357,xgb12
0,1,-45,19,26,light_load [kWh/m2],0.0128149,xgb12
0,1,-45,19,26,primary [kWh/m2],0.0169213,xgb12
0,1,-45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,-45,21,24,cool_load [kWh/m2],0.020138,xgb12
0,1,-45,21,24,light_load [kWh/m2],0.0134356,xgb12
0,1,-45,21,24,primary [kWh/m2],0.0151095,xgb12
0,1,-45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,-45,21,26,cool_load [kWh/m2],0.0205311,xgb12
0,1,-45,21,26,light_load [kWh/m2],0.0147617,xgb12
0,1,-45,21,26,primary [kWh/m2],0.0162631,xgb12
0,2,0,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,2,0,19,24,cool_load [kWh/m2],0.0153646,xgb12
0,2,0,19,24,light_load [kWh/m2],0.0278553,xgb12
0,2,0,19,24,primary [kWh/m2],0.0129746,xgb12
0,2,0,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,2,0,19,26,cool_load [kWh/m2],0.0192735,xgb12
0,2,0,19,26,light_load [kWh/m2],0.0296799,xgb12
0,2,0,19,26,primary [kWh/m2],0.0137941,xgb12
0,2,0,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,2,0,21,24,cool_load [kWh/m2],0.0148615,xgb12
0,2,0,21,24,light_load [kWh/m2],0.0316286,xgb12
0,2,0,21,24,primary [kWh/m2],0.0122469,xgb12
0,2,0,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,2,0,21,26,cool_load [kWh/m2],0.0195723,xgb12
0,2,0,21,26,light_load [kWh/m2],0.0295556,xgb12
0,2,0,21,26,primary [kWh/m2],0.0143184,xgb12
0,2,45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,2,45,19,24,cool_load [kWh/m2],0.0162762,xgb12
0,2,45,19,24,light_load [kWh/m2],0.020113,xgb12
0,2,45,19,24,primary [kWh/m2],0.011454,xgb12
0,2,45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,2,45,19,26,cool_load [kWh/m2],0.0164246,xgb12
0,2,45,19,26,light_load [kWh/m2],0.018474,xgb12
0,2,45,19,26,primary [kWh/m2],0.0108831,xgb12
0,2,45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,2,45,21,24,cool_load [kWh/m2],0.0151762,xgb12
0,2,45,21,24,light_load [kWh/m2],0.0191867,xgb12
0,2,45,21,24,primary [kWh/m2],0.0119159,xgb12
0,2,45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,2,45,21,26,cool_load [kWh/m2],0.0176012,xgb12
0,2,45,21,26,light_load [kWh/m2],0.0217909,xgb12
0,2,45,21,26,primary [kWh/m2],0.0117485,xgb12
